date,summoner_name,rank,lp,season_points,wins,losses
23/07/09,Gweiss,52,260,0,47,43
23/07/09,C9 Summit,53,255,0,36,23
23/07/09,CLG Jenkins,54,255,0,39,29
23/07/09,EG Impact,55,255,0,46,41
23/07/09,IMT PowerOfEvil,56,250,0,35,21
23/07/09,UCI duong pro,57,250,0,46,46
23/07/09,TSM Shenyi,58,245,0,47,45
23/07/09,TL Bjergsen,59,240,0,38,29
23/07/09,EST Bvoy,60,240,0,64,82
23/07/09,AK Leza,61,235,0,40,33
23/07/09,CLG Luger,62,235,0,49,52
23/07/09,R7 SoHwan,63,235,0,50,55
23/07/09,100 Closer,64,230,0,36,26
23/07/09,TL Bwipo,65,230,0,40,34
23/07/09,CLG Palafox,66,230,0,51,60
23/07/09,100 JimieN,67,225,0,40,36
23/07/09,AK Luci,68,220,0,50,58
23/07/09,EG Vulcan,69,215,0,33,24
23/07/09,FLY toucouille,70,210,0,45,49
23/07/09,FEAR Sketch,71,205,0,40,45
23/07/09,AZE Lonely,72,200,0,26,12
23/07/09,AK CaD,73,195,0,31,26
23/07/09,FLY Spirax,74,195,0,36,33
23/07/09,DIG Insanity,75,195,0,40,43
23/07/09,Svenskeren,76,190,0,30,22
23/07/09,JK ry0ma,77,190,0,31,24
23/07/09,C9 Isles,78,190,0,31,26
23/07/09,IMT Pretty,79,190,0,43,48
23/07/09,C9 Blaber,80,185,0,25,13
23/07/09,IMT Revenge,81,185,0,40,44
23/07/09,TSM V1per,82,180,0,32,28
23/07/09,GG Concept,83,180,0,42,49
23/07/09,100 huhi,84,180,0,42,50
23/07/09,TSM Instinct,85,175,0,50,65
23/07/09,IMT Xerxe,86,170,0,27,20
23/07/09,C9 Berserker,87,165,0,27,22
23/07/09,AK Hoglet,88,160,0,26,22
23/07/09,EG Inspired,89,160,0,29,26
23/07/09,C9 Jensen,90,160,0,32,36
23/07/09,R7 Oddie,91,155,0,25,20
23/07/09,TL Haeri,92,155,0,37,49
23/07/09,ISG Grell,93,150,0,36,42
23/07/09,CLG RoseThorn,94,145,0,22,15
23/07/09,GG Stixxay,95,140,0,21,19
23/07/09,FLY aphromoo,96,140,0,31,35
23/07/09,EST Lyg,97,140,0,45,66
23/07/09,DIG JayJ,98,135,0,21,15
23/07/09,100 FBI,99,135,0,27,28
23/07/09,WC Strompest,100,135,0,37,52
23/07/09,INF cody,101,130,0,27,29
23/07/09,IMT Joey,102,130,0,33,40
23/07/09,C9 Copy,103,125,0,15,5
23/07/09,IMT Dardoch,104,125,0,20,15
23/07/09,TSM Tactical,105,120,0,20,16
23/07/09,TL Bradley,106,120,0,37,51
23/07/09,IMT WildTurtle,107,115,0,22,21
23/07/09,CLG Contractz,108,110,0,13,4
23/07/09,NOT 5fire,109,110,0,17,12
23/07/09,C9 Wixxi,110,110,0,21,22
23/07/09,GG Array,111,105,0,31,42
23/07/09,Keith,112,105,0,30,42
23/07/09,300 Minui,113,100,0,16,14
23/07/09,3P Messages,114,95,0,14,11
23/07/09,XTN Bardito,115,95,0,20,23
23/07/09,GET Fix,116,95,0,38,59
23/07/09,IMT Chad,117,90,0,18,18
23/07/09,INF Ackerman,118,90,0,18,20
23/07/09,GG Chime,119,85,0,16,15
23/07/09,TA Nightstar,120,85,0,24,35
23/07/09,NOT Gryffinn,121,85,0,24,37
23/07/09,TSM Hyper,122,80,0,11,7
23/07/09,CLG Prismal,123,80,0,21,26
23/07/09,FLY Yuuji,124,80,0,28,40
23/07/09,XTN Archer,125,80,0,29,46
23/07/09,UCI Kim Down,126,75,0,11,8
23/07/09,100 Ssumday,127,75,0,23,33
23/07/09,FEAR Trixter,128,70,0,10,7
23/07/09,300 Raheen,129,70,0,11,8
23/07/09,TA Chookies,130,70,0,12,11
23/07/09,TSM Keaiduo,131,65,0,7,3
23/07/09,C9 Qit0ng,132,65,0,19,28
23/07/09,DARE Enigma,133,60,0,9,7
23/07/09,SN Saico,134,60,0,15,20
23/07/09,R7 Slow,135,60,0,18,25
23/07/09,WC Crazy Goose,136,60,0,28,44
23/07/09,EG Soligo,137,60,0,25,40
23/07/09,TA Dec0y,138,60,0,20,33
23/07/09,TSM Spica,139,55,0,8,5
23/07/09,CLG Solo,139,55,0,8,5
23/07/09,EG Danny,141,55,0,9,7
23/07/09,C9 k1ng,142,55,0,10,10
23/07/09,DIG Spawn,143,55,0,9,12
23/07/09,CLG Poome,144,55,0,23,35
23/07/09,AK Pancake,145,55,0,16,25
23/07/09,Pobelter,146,55,0,29,50
23/07/09,XTN Horus,147,50,0,8,6
23/07/09,BOG B3nji,148,50,0,9,8
23/07/09,AZE 5kid,149,50,0,12,14
23/07/09,BOG Inori,150,50,0,7,10
23/07/09,100X Keel,151,50,0,26,43
23/07/09,GET Warangelus,152,50,0,37,64
23/07/09,AGT Duoking1,153,45,0,6,3
23/07/09,JK Scoooped,153,45,0,6,3
23/07/09,WIN FrostForest,155,45,0,7,6
23/07/09,UCI Cinna,156,45,0,8,7
23/07/09,MU Shady,157,45,0,8,8
23/07/09,DIG FakeGod,158,45,0,10,11
23/07/09,XTN camilo,159,45,0,12,15
23/07/09,DIG eXyu,160,45,0,12,16
23/07/09,WU Kenji,161,45,0,16,25
23/07/09,Doublelift,162,45,0,19,30
23/07/09,WC Jeremy,163,45,0,17,28
23/07/09,Creamcheese,164,45,0,55,105
23/07/09,3P Dinka,165,40,0,4,0
23/07/09,TSM Huni,166,40,0,5,3
23/07/09,DIG Blue,167,40,0,7,6
23/07/09,DIG Gamsu,168,40,0,8,12
23/07/09,INF Kz,169,40,0,15,24
23/07/09,TSM Yursan,169,40,0,10,16
23/07/09,100X DARKWINGS,171,40,0,11,18
23/07/09,BAY Seranok,172,40,0,19,35
23/07/09,AOE Zamudo,173,40,0,8,16
23/07/09,WC Toasty,174,35,0,4,1
23/07/09,WC 0 n a t,175,35,0,4,3
23/07/09,100X Sniper,176,35,0,5,4
23/07/09,CLG Triple,177,35,0,7,8
23/07/09,GTC Vakin,178,35,0,8,10
23/07/09,UCI Misterdot,179,35,0,5,7
23/07/09,MU APA,180,35,0,8,12
23/07/09,EST Acce,181,35,0,39,76
23/07/09,R7 Daiky,182,35,0,9,18
23/07/09,TL Rhino,183,30,0,4,2
23/07/09,GG Violet,184,30,0,4,3
23/07/09,EG donbray,185,30,0,6,6
23/07/09,IMA shochi,185,30,0,6,6
23/07/09,RAD Lightpulse,187,30,0,11,19
23/07/09,AK Skeeto,188,30,0,13,23
23/07/09,100 BMFX,189,25,0,3,1
23/07/09,NOT Dragoon,190,25,0,4,3
23/07/09,GG Akaadian,191,25,0,5,6
23/07/09,NOT Jishuka,192,25,0,7,9
23/07/09,SN im baekho,193,25,0,8,11
23/07/09,UCI dtro18,194,25,0,13,22
23/07/09,C9 Trevor,195,25,0,8,14
23/07/09,WC Griffin,196,25,0,17,33
23/07/09,XTN Zerito,197,25,0,10,29
23/07/09,Qit0ng,198,20,0,2,0
23/07/09,EGP Faisal,199,20,0,3,2
23/07/09,TG Qwacker,200,20,0,2,2
23/07/09,BAY Bejjaniii,201,20,0,5,6
23/07/09,MUS Getback,202,20,0,4,6
23/07/09,INF Jauny,202,20,0,6,9
23/07/09,UCI sahori,204,20,0,3,5
23/07/09,BAY Dragonmin,205,20,0,5,9
23/07/09,DARE Censored,206,20,0,3,6
23/07/09,UCI Berik,207,15,0,2,1
23/07/09,Sneaky,208,15,0,2,2
23/07/09,DIG Eclipse,209,15,0,3,4
23/07/09,SN Firetheft,210,15,0,2,3
23/07/09,ISG FIare,210,15,0,2,3
23/07/09,Goldenglue,212,15,0,5,8
23/07/09,ISG seiya,213,15,0,3,5
23/07/09,NR Pynt,213,15,0,3,5
23/07/09,AZE Aloned,215,15,0,11,19
23/07/09,300 Perry,216,15,0,5,10
23/07/09,IMA animegirl,216,15,0,3,6
23/07/09,AK Zothve,218,15,0,27,59
23/07/09,CLG Meech,219,15,0,2,7
23/07/09,EGP Doxa,220,10,0,1,0
23/07/09,C9 Fudge,220,10,0,1,0
23/07/09,WC Rhino,220,10,0,1,0
23/07/09,AnDa,220,10,0,1,0
23/07/09,ISG Gavotto,224,10,0,2,2
23/07/09,RAD Bluster,224,10,0,1,1
23/07/09,BOG dshao,224,10,0,2,2
23/07/09,YU Wally,224,10,0,1,1
23/07/09,R7 Ceo,228,10,0,3,4
23/07/09,GET Plugo,229,10,0,2,3
23/07/09,3P Munchy,229,10,0,2,3
23/07/09,ISU DrewDozer,231,10,0,1,2
23/07/09,WC Onat,232,10,0,2,5
23/07/09,BOG Tuesday,233,10,0,1,3
23/07/09,CIyde,234,10,0,7,22
23/07/09,RAD Crimson,235,5,0,1,1
23/07/09,3P Lunar2,235,5,0,1,1
23/07/09,WIN Avano,237,5,0,3,7
23/07/09,EG SkyTec,238,5,0,15,37
23/07/09,DARE Blossoms,239,5,0,4,10
23/07/09,MUS Kind,240,0,0,3,6
23/07/09,BAY SophistSage,240,0,0,1,2
23/07/09,AZE Straight,240,0,0,4,8
23/07/09,WIN Vex,243,0,0,8,17
23/07/09,ISG Follow,244,0,0,3,7
23/07/09,MU Azog,245,0,0,9,22
23/07/09,BAY Braine,246,0,0,2,5
23/07/09,ISU Tempos,246,0,0,2,5
23/07/09,WIN Mordio,248,0,0,5,14
23/07/09,NOT Blazze,249,0,0,1,3
23/07/09,TFTS Leemo,249,0,0,3,9
23/07/09,DIG Biofrost,249,0,0,2,6
23/07/09,INF Brayaron,249,0,0,4,12
23/07/09,EGP LEO99,253,0,0,1,4
23/07/09,XTN Tyr,253,0,0,2,8
23/07/09,MU Aizo,253,0,0,1,4
23/07/09,ISU Yen,256,0,0,2,9
23/07/09,AOER Nemesis9,257,0,0,2,10
23/07/09,MU Odd Orange,258,0,0,2,12
23/07/09,EGP Daption,258,0,0,1,6
23/07/09,WC Rapid,260,0,0,1,8
23/07/09,GET Fs,261,0,0,1,9
23/07/09,INF SolidSnake,262,0,0,1,11
23/07/09,DARE Snow2,263,0,0,0,4
23/07/09,TG Cozy,263,0,0,0,1
23/07/09,WIN Saint GRIMM,263,0,0,0,9
23/07/09,SN Pseudo,263,0,0,0,5
